"Departamento","Valle del Cauca","VIAS DEPARTAMENTALES
Decreto no. 0216 del 27 de febrero de 2018 
Código Vía","Nombre Vía
Decreto no. 0216 del 27 de febrero de 2018 
Código Vía","Sub Region","Micro region","Municipios","Categoría","Longitud
(m)","Longitud
(km)","Escarpado","Montañoso","Ondulado","Plano","Destapado","Afirmado","Pavimento asfaltico","Tratamiento superficial","Pavimento rígido","Placa huella","Pavimento articulado","Otro","Bueno","Regular","Malo","Pésimo","Intransitable"
"1","VALLE DEL CAUCA","3201","VIA SIMON BOLIVAR (KM21- KM 30 (BORRERO AYERBE) - QUEREMAL - DANUBIO - AGUA CLARA - BUENAVENTURA (EL PAILÓN))","Pacifico - Sur","Pacifico - Sur - Cali","Buenaventura - Dagua","2","109,527.9864","109.5279864","39,437.37185","7,971.964578","23,255.88884","38,862.76106","6,947.075249","44,530.80186","51,366.35425","99.57213041","6,535.900022","48.28281136","0","0","39,315.2793","38,366.11978","23,819.57179","8,027.015451","0"
"2","VALLE DEL CAUCA","3401","PALMIRA - TIENDA NUEVA - POTRERILLO - VIA HACIA EL TOLIMA","Sur","Sur- Palmira","Palmira","2","54,271.85935","54.27185935","17,208.89374","4,425.036263","10,408.83545","22,229.0939","0","42,417.47882","11,589.569","0","106.6078292","0","158.2037011","0","22,757.31097","27,560.59916","3,696.565446","257.3837781","0"
"3","VALLE DEL CAUCA","05VL04","BUENAVENTURA (CRUCE RUTA 4001 GALLINERO) - CRUCE AGUA DULCE","Pacifico","Pacifico","Buenaventura","1","7,136.523384","7.136523384","854.1621504","292.5468901","1,075.826565","4,913.987779","0","85.36760212","7,051.155782","0","0","0","0","0","6,297.291464","819.9253448","19.30657482","0","0"
"4","VALLE DEL CAUCA","05VL04-1","CRUCE  AGUA DULCE - BAHIA MALAGA","Pacifico","Pacifico","Buenaventura","2","97,810.32093","97.81032093","5,804.453196","3,216.949922","9,910.199459","78,878.71835","51,163.95331","45,179.74993","0","0","29.13990482","1,437.477777","0","0","1,422.391551","10,734.90627","26,536.13884","8,792.944543","50,323.93972"
"5","VALLE DEL CAUCA","19VL01","RAMAL A DAGUA","Sur","Sur- Cali","Dagua","2","1,405.90419","1.40590419","462.9335617","89.86775307","235.0182911","618.0845843","0","100.1364772","1,305.767713","0","0","0","0","0","396.353367","1,009.550823","0","0","0"
"6","VALLE DEL CAUCA","19VL02","CRUCE RUTA 1901 - BITACO - LA CUMBRE - PAVAS - RESTREPO","Centro - Sur","Centro Buga/ Sur- Cali","Restrepo - La Cumbre - Dagua","2","43,608.32288","43.60832288","10,943.47049","3,389.818401","7,217.516746","22,057.51724","412.052494","9,122.7971","32,447.63514","93.38292002","1,532.455221","0","0","0","5,474.919236","28,427.54696","8,645.014668","1,060.842014","0"
"7","VALLE DEL CAUCA","23VL02","YUMBO - LA CUMBRE","Sur","Sur- Cali","La Cumbre - Yumbo","2","16,690.06297","16.69006297","4,242.996951","3,866.000773","4,409.533092","4,171.532142","0","95.8235713","98.09314821","92.76712196","16,403.37912","0","0","0","4,753.471372","8,171.359846","3,566.898578","198.3331618","0"
"8","VALLE DEL CAUCA","23VL04","VIJES - RESTREPO","Centro - Sur","Centro - Buga / Sur Cali","Restrepo - Vijes","2","28,299.50462","28.29950462","12,149.798","1,710.165369","4,412.307935","10,027.23332","786.7886013","15,823.08397","11,281.08531","96.37427169","0","312.1724692","0","0","4,753.247853","12,304.69664","10,356.3951","885.165024","0"
"9","VALLE DEL CAUCA","23VL09","ROLDANILLO - EL DOVIO","Centro- Norte","Centro - Tulua / Norte -Zarzal - Roldanillo","Roldanillo - El Dovio","2","21,182.33772","21.18233772","6,312.414399","1,361.04042","4,497.796564","9,011.086337","0","404.4721988","16,487.68527","0","4,290.18025","0","0","0","5,543.889131","13,209.78195","2,428.666635","0","0"
"10","VALLE DEL CAUCA","23VL10","SAN LUIS - LA UNION - QUEBRADAGRANDE","Norte","Norte -Zarzal - Roldanillo","La Union","2","15,035.8095","15.0358095","3,484.222675","1,035.473456","2,338.442825","8,177.670547","0","0","13,939.60243","0","1,096.20707","0","0","0","2,816.325524","5,910.914383","5,203.537782","1,105.031815","0"
"11","VALLE DEL CAUCA","23VL13","TRUJILLO - RIO FRIO","Centro","Centro - Tulua","Trujillo - Riofrio","2","10,754.95906","10.75495906","2,965.271809","454.8649896","1,050.794474","6,284.027792","0","0","10,444.55462","0","310.4044461","0","0","0","10,144.01362","509.8044733","101.1409753","0","0"
"12","VALLE DEL CAUCA","23VL13-1","DARIEN - FENICIA - TRUJILLO","Centro","Centro Tulua / Centro - Buga","Darien - Riofrio - Trujillo","3","72,547.63019","72.54763019","24,847.43577","5,893.262119","16,484.19027","25,322.74203","193.6795444","44,191.75861","20,866.02492","98.99802492","3,426.549288","3,770.61981","0","0","14,270.19388","49,833.50654","8,237.657014","206.2727514","0"
"13","VALLE DEL CAUCA","23VL13-2","TRUJILLO - LA TULIA - ROLDANILLO","Centro- Norte","Centro - Tulua / Norte -Zarzal - Roldanillo","Trujillo- Bolivar-Roldanillo","2","46,548.083","46.548083","15,727.41853","4,341.435524","8,030.89096","18,448.33798","0","13,223.41044","31,623.82996","0","1,062.335566","638.5070295","0","0","3,399.626713","33,132.38719","9,293.237186","722.831903","0"
"14","VALLE DEL CAUCA","23VL13-3","VERSALLES - ARGELIA","Norte","Norte - Cartago","Argelia","3","41,176.56838","41.17656838","15,419.36763","3,749.675388","7,522.270243","14,485.25511","0","27,040.48914","11,473.46048","100.2707198","2,030.070319","532.2777213","0","0","10,951.47432","26,472.4749","3,158.254278","594.3648726","0"
"15","VALLE DEL CAUCA","23VL13-5","ANSERMANUEVO - LA QUIEBRA DE SAN PABLO - EL AGUILA","Norte","Norte - Cartago","Ansermanuevo - El Aguila","2","27,577.12769","27.57712769","11,226.02146","1,865.507473","5,399.318421","9,086.280328","100.4549868","666.9126345","21,243.34254","0","5,566.417529","0","0","0","6,156.420576","11,119.86493","6,782.910509","3,517.931671","0"
"16","VALLE DEL CAUCA","23VL13-7","EL DOVIO - QUEBRADAGRANDE - VERSALLES.","Norte","Norte -Zarzal - Roldanillo","Versalles","2","19,670.59339","19.67059339","3,380.376612","825.3457175","3,995.375877","11,469.49518","0","199.4559089","14,815.94067","0","4,610.154764","45.04204113","0","0","4,906.145754","13,366.17684","1,398.270793","0","0"
"17","VALLE DEL CAUCA","23VL13-9","ARGELIA - LA MARINA","Norte","Norte - Cartago","Argelia","2","2,691.448111","2.691448111","1,190.179487","54.45013732","804.839367","641.97912","0","0","0","0","2,691.448111","0","0","0","860.0701211","1,633.622639","197.7553512","0","0"
"18","VALLE DEL CAUCA","23VL14","CALI - YUMBO (VIA ANTIGUA)","Sur","Sur - Cali","Yumbo","1","12,346.90258","12.34690258","577.9445492","214.112854","722.3464218","10,832.49876","0","0","11,398.19055","0","948.7120338","0","0","0","11,001.45809","396.7324638","948.7120338","0","0"
"19","VALLE DEL CAUCA","23VL15","QUEBRADA GRANDE - TORO","Norte","Norte -Zarzal - Roldanillo","Toro - La Union","2","16,514.40773","16.51440773","5,645.070737","1,442.168109","3,339.848457","6,087.32043","159.705418","15,361.16075","739.1649594","0","29.84509906","224.5315039","0","0","3,505.936518","4,850.560085","8,157.911129","0","0"
"20","VALLE DEL CAUCA","23VLA","PASO POR VIJES","Sur","Sur - Cali","Vijes","3","2,877.215682","2.877215682","709.5456735","325.2307499","762.8205152","1,079.618744","0","2,877.215682","0","0","0","0","0","0","346.027458","1,460.845422","1,070.342802","0","0"
"21","VALLE DEL CAUCA","25VL02","EL PLACER - CRUCE SANTA ELENA - HACIENDA EL PARAISO","Sur","Sur- Palmira","El Cerrito","2","11,732.48312","11.73248312","1,033.168637","237.8897527","1,120.528804","9,340.895929","0","2,545.94701","9,186.536113","0","0","0","0","0","11,522.42975","0","0","210.0533777","0"
"22","VALLE DEL CAUCA","25VL03","RAMAL A GINEBRA","Sur","Sur- Palmira","Ginebra","2","5,089.673086","5.089673086","0","0","53.06453986","5,036.608546","0","0","5,089.673086","0","0","0","0","0","2,388.184581","503.0478638","1,999.205585","199.2350563","0"
"23","VALLE DEL CAUCA","25VL03-1","GINEBRA - EL CERRITO","Sur","Sur- Palmira","Ginebra - El Cerrito","2","5,839.959402","5.839959402","0","25.75114916","132.4127934","5,681.795459","0","0","5,758.732173","0","81.2272295","0","0","0","4,422.115161","1,316.907806","100.9364351","0","0"
"24","VALLE DEL CAUCA","25VL04","RÌO FRÌO - TULUA","Centro","Centro - Tulua","Tulua","2","11,940.83736","11.94083736","0","0","22.89575195","11,917.94161","0","301.7021162","11,639.13524","0","0","0","0","0","105.9737817","11,725.16008","0","0","109.7034971"
"25","VALLE DEL CAUCA","25VL05","ZARZAL - ROLDANILLO","Norte","Norte - Zarzal - Rodanillo","Roldanillo - Zarzal","2","8,192.544196","8.192544196","67.91896447","0","421.8308331","7,702.794399","32.22747945","0","7,858.847151","0","301.4695658","0","0","0","4,777.533225","2,901.534703","411.0611285","102.4151398","0"
"26","VALLE DEL CAUCA","25VL06","LA VICTORIA - LA UNION","Norte","Norte - Zarzal - Rodanillo","Roldanillo - Zarzal","2","6,346.944441","6.346944441","124.8851237","50.42054604","73.43530608","6,098.203465","0","0","6,346.944441","0","0","0","0","0","4,589.525941","1,757.4185","0","0","0"
"27","VALLE DEL CAUCA","25VL08","AMAIME - CRUCE VIA 3401","Sur","Sur - Palmira","Palmira","2","8,391.668195","8.391668195","26.87372127","0","231.7808994","8,133.013574","0","6,225.705766","2,057.333441","108.6289874","0","0","0","0","4,222.903337","4,068.008558","100.7562995","0","0"
"28","VALLE DEL CAUCA","25VL09","JAMUNDI - ROBLES - TIMBA","Sur","Sur - Cali","Jamundi","2","22,037.59948","22.03759948","2,698.651651","843.8625771","1,979.745142","16,515.34011","0","339.9611737","20,825.76113","0","871.8771682","0","0","0","7,168.744967","14,440.96618","427.8883301","0","0"
"29","VALLE DEL CAUCA","25VL09-1","CRUCE JAMUNDI - POTRERITO","Sur","Sur - Cali","Jamundi","2","3,573.414195","3.573414195","4.384166527","47.15317945","70.35711702","3,451.519732","0","0","86.19352883","99.8152028","3,387.405463","0","0","0","0","3,573.414195","0","0","0"
"30","VALLE DEL CAUCA","25VL10","CAÌ‘AS GORDAS - JAMUNDI (PUENTE RIO PANCE - GLORIETA ALFAGUARA)","Sur","Sur - Cali","Jamundi","2","5,674.016703","5.674016703","0","10.12242672","128.8680056","5,535.026271","295.777082","0","4,899.174755","0","479.0648661","0","0","0","296.1108987","5,278.637929","99.26787483","0","0"
"31","VALLE DEL CAUCA","25VL13","CANDELARIA - PRADERA","Sur","Sur - Cali","Candelaria - Pradera","2","12,038.35318","12.03835318","0","0","8.313330765","12,030.03985","0","0","11,937.471","0","0","0","100.8821743","0","11,384.22309","654.1300911","0","0","0"
"32","VALLE DEL CAUCA","25VL13-1","PALMIRA - BOLO MADREVIEJA - CRUCE CANDELARIA","Sur","Sur - Palmira","Palmira - Candelaria","2","12,977.07289","12.97707289","10.34025812","0","32.25823184","12,934.4744","96.79721542","11,934.9471","858.5893201","0","86.73925865","0","0","0","2,699.318736","10,079.58665","198.1675053","0","0"
"33","VALLE DEL CAUCA","25VL14","CORONADO - ROZO - CRUCE RUTA 25VL01-1","Sur","Sur - Palmira","Palmira","2","13,259.55087","13.25955087","0","1.550222941","57.45122372","13,200.54942","0","0","12,797.66255","0","461.8883224","0","0","0","10,835.02654","2,424.524328","0","0","0"
"34","VALLE DEL CAUCA","25VL15","GUACARI - GUABAS","Centro","Centro - Buga","Guacari","2","4,116.989013","4.116989013","0","0","0","4,116.989013","194.2545048","0","3,922.734509","0","0","0","0","0","102.1566311","4,014.832382","0","0","0"
"35","VALLE DEL CAUCA","25VL17","BUGA - LA HABANA - TRES ESQUINAS","Centro","Centro - Buga","Buga","2","12,659.77675","12.65977675","2,467.156239","571.0919902","4,000.161195","5,621.367322","69.80912353","416.5380647","12,173.42956","0","0","0","0","0","3,008.821685","9,150.509414","500.4456469","0","0"
"36","VALLE DEL CAUCA","25VL22","TULUA - SAN RAFAEL - BARRAGAN - LA UNIÓN - LIMITE TOLIMA (VIA A RONCESVALLES)","Centro","Centro - Tulua","Tulua- Andalucia - Sevilla","2","97,425.2781","97.4252781","39,964.23032","7,551.791429","19,007.23765","30,902.0187","2,332.584781","74,455.06963","20,435.53346","0","202.0902318","0","0","0","12,317.71325","52,697.04113","26,954.00959","5,456.514119","0"
"37","VALLE DEL CAUCA","25VL25","ANDALUCIA - TAMBORAL - EL SALTO- TRES ESQUINAS - TULUA","Centro","Centro - Tulua","Tulua - Andalucia","2","16,186.89059","16.18689059","17.25955254","0","79.65616923","16,089.97486","205.2881427","489.9390924","10,751.75447","0","4,739.908882","0","0","0","6,162.293507","9,145.454532","879.1425462","0","0"
"38","VALLE DEL CAUCA","25VL30","LA VICTORIA - CRUCE RUTA 2506","Norte","Norte - Zarzal - Rodanillo","La Victoria","2","925.1535363","0.9251535363","200.5923507","150.3887109","252.4075053","321.7649694","0","0","925.1535363","0","0","0","0","0","329.1401462","495.9648543","100.0485359","0","0"
"39","VALLE DEL CAUCA","25VL31","OBANDO - VILLA RODAS - CRUCE RUTA NACIONAL 25VL07","Norte","Norte - Cartago","Cartago - Obando","2","37,436.71254","37.43671254","12,561.14493","2,475.469561","7,693.444598","14,706.65345","3,935.815455","26,647.82257","3,336.451605","0","403.9960057","3,112.6269","0","0","3,230.175574","15,449.27961","13,514.30194","5,242.955407","0"
"40","VALLE DEL CAUCA","25VL32","CRUCE PANCE - PUERTO TEJADA (PUENTE EL HORMIGUERO)","Sur","Sur - Cali","Cali","1","7,031.878559","7.031878559","0","0","14.36509136","7,017.513468","0","0","7,031.878559","0","0","0","0","0","2,924.44319","4,107.435369","0","0","0"
"41","VALLE DEL CAUCA","25VL34","TULUA (CRUCE A SAN RAFAEL) - LA MARINA","Centro","Centro - Tulua","Tulua","2","9,830.554574","9.830554574","2,453.586635","951.1881513","2,593.748082","3,832.031706","101.887938","0","9,728.666636","0","0","0","0","0","8,930.358301","607.0702931","293.1259804","0","0"
"42","VALLE DEL CAUCA","25VL35","GUACARI - GUABITAS - TRES ESQUINAS - GINEBRA","Centro","Centro - Buga","Guacari - Ginebra","2","7,135.664496","7.135664496","1.409475148","7.938520008","1.712076051","7,124.604425","1,051.906221","2,997.523914","97.5589332","0","2,988.675428","0","0","0","835.1870839","5,899.83267","400.6447424","0","0"
"43","VALLE DEL CAUCA","25VL36","TIMBA - PUENTE LA BALSA","Sur","Sur - Cali","Jamundi","2","4,030.928021","4.030928021","36.07096269","22.98448549","20.46266128","3,951.409911","84.12879851","0","3,846.371972","100.4272504","0","0","0","0","2,988.063971","1,022.401388","20.46266128","0","0"
"44","VALLE DEL CAUCA","25VL37","JAMUNDI - VEREDA DE SÁNCHEZ - PASO DE LA BOLSA","Sur","Sur - Cali","Jamundi","2","8,806.57503","8.80657503","9.72157674","0","0","8,796.853453","0","94.89742732","7,976.1566","0","735.521003","0","0","0","495.4808209","7,825.027035","486.0671739","0","0"
"45","VALLE DEL CAUCA","25VLE","PASO POR BUGA","Centro","Centro - Buga","Buga","2","3,117.278547","3.117278547","15.85017056","68.46456469","279.2443541","2,753.719457","0","295.4323934","2,821.846153","0","0","0","0","0","1,509.060667","1,608.21788","0","0","0"
"46","VALLE DEL CAUCA","25VLF","PASO POR PRESIDENTE","Centro","Centro - Tulua","San Pedro","2","1,465.447647","1.465447647","0","0","103.9352628","1,361.512384","0","202.8995077","1,262.548139","0","0","0","0","0","0","1,465.447647","0","0","0"
"47","VALLE DEL CAUCA","25VLG","PASO POR SAN PEDRO","Centro","Centro - Tulua","San Pedro","2","4,215.717277","4.215717277","120.9894111","3.988221212","370.0297151","3,720.70993","0","0","4,215.717277","0","0","0","0","0","100.9357472","4,114.78153","0","0","0"
"48","VALLE DEL CAUCA","25VLK-1","PASO POR LA VICTORIA (ENTRADA NORTE)","Norte","Norte - Zarzal - Rodanillo","La Victoria","2","3,005.66973","3.00566973","394.0539642","188.5612623","671.1883867","1,751.866117","0","0","2,806.171349","0","199.4983806","0","0","0","1,352.317432","496.6904779","1,156.66182","0","0"
"49","VALLE DEL CAUCA","25VLK","PASO POR LA VICTORIA (ENTRADA SUR)","Norte","Norte - Zarzal - Rodanillo","La Victoria","2","4,940.542457","4.940542457","414.4278091","157.7417652","576.8027484","3,791.570134","0","0","4,940.542457","0","0","0","0","0","464.7662701","4,475.776186","0","0","0"
"50","VALLE DEL CAUCA","2901B","ALCALA - PEREIRA (SECTOR ALCALA - LIMITE RISARALDA)","Norte","Norte - Cartago","Alcala - Ulloa","2","6,960.546398","6.960546398","1,635.310148","265.0224583","1,122.347368","3,937.866424","102.8703886","0","6,857.676009","0","0","0","0","0","511.1173918","5,649.039741","591.0328469","209.3564178","0"
"51","VALLE DEL CAUCA","29VL01","ALCALA - ULLOA","Norte","Norte - Cartago","Alcala - Ulloa","2","5,731.218998","5.731218998","1,795.794693","503.6849488","1,464.67708","1,967.062276","0","100.7015754","0","0","5,630.517422","0","0","0","2,719.660801","2,520.716381","490.8418152","0","0"
"52","VALLE DEL CAUCA","29VL02","ALCALA - MARAVELEZ - LIMITE QUINDIO (VIA A FILANDIA)","Norte","Norte - Cartago","Alcala","2","10,350.65767","10.35065767","3,547.957671","548.271978","2,692.863861","3,561.564163","0","3,321.36171","5,736.043156","0","509.3144599","783.9383475","0","0","783.9383475","6,323.00106","3,186.651033","57.06723258","0"
"53","VALLE DEL CAUCA","29VL03","ALCALA - LA CUCHILLA - LIMITE QUINDIO (VIA A FILANDIA)","Norte","Norte - Cartago","Alcala","2","8,879.023262","8.879023262","2,554.731289","678.4833486","2,553.480266","3,092.328357","0","1,225.052545","6,295.446899","0","1,358.523817","0","0","0","798.5606595","5,791.311203","1,548.769125","740.3822743","0"
"54","VALLE DEL CAUCA","29VL04","CRUCE CENTRAL PEREIRA - MONTEZUMA - ULLOA","Norte","Norte - Cartago","Ulloa","2","8,049.077206","8.049077206","2,318.629482","520.2394969","2,180.073066","3,030.135161","47.17237864","4,129.54764","2,169.46149","0","626.2941624","1,076.601535","0","0","1,260.494274","5,252.650245","1,535.932687","0","0"
"55","VALLE DEL CAUCA","29VL05","ULLOA - CHAPINERO - LIMITE QUINDIO (VIA A FILANDIA)","Norte","Norte - Cartago","Ulloa","2","4,581.388744","4.581388744","1,562.563979","226.0199991","647.0503833","2,145.754383","0","3,674.188362","0","0","17.71822736","889.4821544","0","0","888.7256747","2,002.538143","1,690.124926","0","0"
"56","VALLE DEL CAUCA","31VL01","FLORIDA - CHOCOCITO - TARRAGONA - PUENTE EL ORTIGAL","Sur","Sur - Palmira","Florida","2","14,043.92325","14.04392325","0","0","103.4363722","13,940.48688","0","201.9814665","13,841.94178","0","0","0","0","0","3,761.21295","9,279.901989","904.7466471","98.06166113","0"
"57","VALLE DEL CAUCA","31VL05","AGUACLARA - LA BUITRERA","Sur","Sur - Palmira","Palmira","2","5,477.725445","5.477725445","935.775261","417.6608494","1,382.437847","2,741.851487","0","209.5282498","5,268.197195","0","0","0","0","0","4,472.515001","1,005.210444","0","0","0"
"58","VALLE DEL CAUCA","3201-1","KM 30 (BORRERO AYERBE) - EL CARMEN","Sur","Sur - Palmira","Dagua","3","3,824.905357","3.824905357","956.656879","245.9349217","822.6654169","1,799.64814","0","203.2222029","3,621.683154","0","0","0","0","0","1,514.975799","2,206.7476","103.1819583","0","0"
"59","VALLE DEL CAUCA","3202A","CALI - CRUCE CANDELARIA","Sur","Sur - Palmira","Candelaria","1","17,301.84761","17.30184761","4.77248906","25.33357529","66.17793303","17,205.56361","0","206.946558","17,094.90105","0","0","0","0","0","7,596.464524","9,705.383084","0","0","0"
"60","VALLE DEL CAUCA","3202B","CRUCE CANDELARIA - CRUCERO LA INDUSTRIA","Sur","Sur - Palmira","Florida - Candelaria","2","12,004.94984","12.00494984","0","0","0","12,004.94984","0","320.059417","3,017.021262","0","8,667.869157","0","0","0","627.6431753","9,187.699092","2,189.607569","0","0"
"61","VALLE DEL CAUCA","32VL01","CRUCE VIA 3201 - CRUCE RUTA 1901 (DAGUA)","Sur","Sur - Cali","Dagua","2","9,693.789982","9.693789982","2,663.769976","760.5842111","1,707.555113","4,561.880682","0","9,674.013958","19.77602389","0","0","0","0","0","1,746.617568","7,947.172414","0","0","0"
"62","VALLE DEL CAUCA","34VL01","TIENDA NUEVA - TABLONES - CEIBOS - PUENTE LAS AGUILAS","Sur","Sur - Palmira","Palmira","2","16,046.18437","16.04618437","3,668.069672","871.8754637","2,226.766899","9,279.472333","0","7,326.723533","2,642.920592","0","6,044.580691","0","0","31.95955254","4,132.851906","11,410.21575","503.1167081","0","0"
"63","VALLE DEL CAUCA","4002A","URIBE - SEVILLA","Centro","Centro Tulua / Centro -  Sevilla","Bugalagrande - Sevilla","2","28,863.32973","28.86332973","6,202.608484","1,204.144645","4,847.088869","16,609.48774","0","0","28,863.32973","0","0","0","0","0","11,062.91645","15,502.61526","2,297.798025","0","0"
"64","VALLE DEL CAUCA","4002A-1","SEVILLA - CAICEDONIA - LIMITE QUINDIO (RIO BARRAGAN))","Centro","Centro -  Sevilla - Caicedonia","Sevilla - Caicedonia","2","25,526.46466","25.52646466","8,234.926857","2,468.793672","4,091.016203","10,731.72793","198.4466563","291.8978213","25,036.12019","0","0","0","0","0","16,063.23431","8,126.301687","1,336.928671","0","0"
"65","VALLE DEL CAUCA","40VL01","CUBA (CRUCE VIA 4002A-1) - ALAMBRADO","Centro","Centro -  Sevilla - Caicedonia","Sevilla - Caicedonia","2","9,421.378664","9.421378664","1,688.954694","624.4095145","1,693.551638","5,414.462817","0","0","9,421.378664","0","0","0","0","0","4,329.660834","3,120.408565","1,971.309265","0","0"
"66","VALLE DEL CAUCA","40VL02","COROZAL - SEVILLA","Centro","Centro -  Sevilla - Caicedonia","Sevilla","2","17,951.90312","17.95190312","5,322.87897","1,235.270088","2,594.751563","8,799.002497","181.1325281","6,728.807238","9,224.886875","43.47713077","1,668.323244","105.2761019","0","0","2,314.964816","7,847.648625","6,810.540732","978.7489447","0"
"67","VALLE DEL CAUCA","40VL11","CRUCE RUTA 4001 - MADROÑAL - DARIEN","Centro","Centro - Buga","Calima Darien","2","18,711.59073","18.71159073","3,842.276903","975.286847","2,788.169431","11,105.85754","492.1111563","411.359812","17,684.4796","123.6401596","0","0","0","0","3,978.263324","14,533.59427","199.7331366","0","0"
"68","VALLE DEL CAUCA","40VL12","DARIEN - JIGUALES - PUENTE TIERRA","Centro","Centro - Buga","Calima Darien","2","16,542.52458","16.54252458","3,313.891139","1,073.410375","4,339.635179","7,815.587883","208.3843184","614.1548022","15,719.98546","0","0","0","0","0","6,579.40674","9,963.117837","0","0","0"
"69","VALLE DEL CAUCA","40VL14","RESTREPO - CRUCE RUTA 4001","Centro","Centro - Buga","Restrepo","2","5,238.753542","5.238753542","1,761.990035","330.4146394","1,425.384199","1,720.964668","101.4969834","0","5,137.256558","0","0","0","0","0","193.8976039","5,044.855938","0","0","0"
"70","VALLE DEL CAUCA","40VL15","RESTREPO (CRUCE VIA 40VL14) - LOMA LARGA - CRUCE RUTA 4001","Centro","Centro - Buga","Restrepo - Calima","2","5,509.106795","5.509106795","810.3635293","150.537908","497.8126261","4,050.392731","100.0351396","0","5,409.071655","0","0","0","0","0","0","5,509.106795","0","0","0"
"71","VALLE DEL CAUCA","4802VL","CRUCE RUTA 2302 - ANSERMANUEVO - ALTO GALAPAGOS (LIMITE CHOCO)","Norte","Norte -  Cartago","Ansermanuevo - Argelia - El Cairo","2","50,883.89332","50.88389332","14,895.24575","3,531.307175","11,392.11017","21,065.23022","197.3472096","11,679.75688","33,303.61211","0","5,703.177113","0","0","0","4,284.982182","30,717.79078","14,410.30455","1,470.815814","0"
"72","VALLE DEL CAUCA","48VL01","RAMAL EL CAIRO","Norte","Norte -  Cartago","El Cairo","2","15,097.96077","15.09796077","5,097.383181","917.3726569","2,735.693641","6,347.511289","0","291.6279969","14,356.22092","0","450.1118539","0","0","0","8,648.763908","4,753.127001","1,341.037218","355.0326402","0"
